,User ID,Max_Dogs,Membership_ID,Subscribed,City,State,Country,Exclude,Free_Start_User,Last_Active_At,Membership_Type
39,ce13851a-7144-11e5-ba71-058fbc01cf0b,2,2,1,Rødekro,83,DK,0,0,10/9/14 19:44,2
41,ce1385c4-7144-11e5-ba71-058fbc01cf0b,2,2,1,Alexandria,CA,US,0,0,9/28/15 17:13,2
44,ce138722-7144-11e5-ba71-058fbc01cf0b,2,2,1,Charlotte,NC,US,0,0,0:00:00,2
46,ce1389d4-7144-11e5-ba71-058fbc01cf0b,1,1,0,Woodinville,CA,US,0,0,0:00:00,1
47,ce1387cc-7144-11e5-ba71-058fbc01cf0b,1,2,1,Woodinville,WA,US,0,0,12/11/14 22:12,2
48,ce138a88-7144-11e5-ba71-058fbc01cf0b,1,1,1,Oakland,IL,US,0,0,1/1/15 17:46,1
49,ce138f92-7144-11e5-ba71-058fbc01cf0b,2,1,1,Singapore,1,SG,0,0,6/22/15 8:08,1
51,ce1390f0-7144-11e5-ba71-058fbc01cf0b,1,1,0,Oakland,DC,US,0,0,0:00:00,1
52,ce13919a-7144-11e5-ba71-058fbc01cf0b,2,1,0,Oakland,NY,US,0,0,6/23/14 20:42,1
53,ce137458-7144-11e5-ba71-058fbc01cf0b,1,1,0,Durham,NC,US,0,0,0:00:00,1
54,ce1394f6-7144-11e5-ba71-058fbc01cf0b,1,2,1,Test,OH,US,0,0,4/2/14 16:44,2
55,ce13964a-7144-11e5-ba71-058fbc01cf0b,1,1,1,Test,FL,US,0,0,0:00:00,1
56,ce13985c-7144-11e5-ba71-058fbc01cf0b,1,1,0,Test,FL,US,0,0,0:00:00,1
57,ce137656-7144-11e5-ba71-058fbc01cf0b,1,1,0,Oreland,PA,US,0,0,0:00:00,1
58,ce139a6e-7144-11e5-ba71-058fbc01cf0b,1,2,1,Carrboro,PA,US,0,0,1/29/15 19:13,2
59,ce139bea-7144-11e5-ba71-058fbc01cf0b,2,2,0,Carrboro,TX,US,0,0,0:00:00,2
61,ce135766-7144-11e5-ba71-058fbc01cf0b,7,2,1,Cary,NC,US,0,0,5/13/15 14:44,2
62,ce139cb2-7144-11e5-ba71-058fbc01cf0b,1,1,1,Carrboro,NC,US,0,0,0:00:00,1
63,ce139e1a-7144-11e5-ba71-058fbc01cf0b,1,1,1,Melbourne,NM,US,0,0,0:00:00,1
64,ce13a108-7144-11e5-ba71-058fbc01cf0b,1,2,1,Alexandria,KS,US,0,0,0:00:00,2
65,ce13a5cc-7144-11e5-ba71-058fbc01cf0b,3,3,1,Alexandria,NY,US,0,0,0:00:00,3
66,ce13a734-7144-11e5-ba71-058fbc01cf0b,2,1,1,Singapore,CA,US,0,0,0:00:00,1
68,ce13a7e8-7144-11e5-ba71-058fbc01cf0b,1,1,1,Mountain View,MA,US,0,0,5/26/14 20:11,1
70,ce13b152-7144-11e5-ba71-058fbc01cf0b,1,1,0,Mountain View,OR,US,0,0,0:00:00,1
71,ce21d7d2-7144-11e5-ba71-058fbc01cf0b,2,3,1,Bloomfield Hills,MO,US,0,0,0:00:00,3
73,ce137fca-7144-11e5-ba71-058fbc01cf0b,3,2,1,Owings,MD,US,0,0,7/1/15 14:21,2
74,ce21df2a-7144-11e5-ba71-058fbc01cf0b,3,2,1,Bloomfield Hills,FL,US,0,0,11/2/14 13:48,2
75,ce21e11e-7144-11e5-ba71-058fbc01cf0b,2,2,1,Philadelphia,CT,US,0,0,5/20/15 16:13,2
79,ce21e736-7144-11e5-ba71-058fbc01cf0b,1,1,0,Durham,NY,US,0,0,0:00:00,1
80,ce21e826-7144-11e5-ba71-058fbc01cf0b,1,1,1,Test,NJ,US,0,0,0:00:00,1
81,ce21f122-7144-11e5-ba71-058fbc01cf0b,2,2,1,Test,IL,US,0,0,11/26/14 17:31,2
82,ce21f528-7144-11e5-ba71-058fbc01cf0b,1,2,1,Davis,GA,US,0,0,7/19/14 0:02,2
83,ce22007c-7144-11e5-ba71-058fbc01cf0b,1,1,1,Davis,FL,US,0,0,0:00:00,1
84,ce22011c-7144-11e5-ba71-058fbc01cf0b,3,1,1,Davis,TX,US,0,0,8/29/15 2:16,1
86,ce2202e8-7144-11e5-ba71-058fbc01cf0b,3,2,1,Goshen,OH,US,0,0,9/20/15 23:04,2
88,ce2203f6-7144-11e5-ba71-058fbc01cf0b,1,2,1,Spokane,WA,US,0,0,5/18/15 2:51,2
89,ce2204a0-7144-11e5-ba71-058fbc01cf0b,2,2,1,Saint Louis,MO,US,0,0,5/27/15 20:41,2
91,ce220734-7144-11e5-ba71-058fbc01cf0b,1,1,1,Washington,DC,US,0,0,3/15/14 16:03,1
92,ce2205ea-7144-11e5-ba71-058fbc01cf0b,2,2,1,Denham Springs,LA,US,0,0,5/4/15 12:51,2
94,ce2207de-7144-11e5-ba71-058fbc01cf0b,1,1,0,Everett,WA,US,0,0,0:00:00,1
95,ce220892-7144-11e5-ba71-058fbc01cf0b,1,1,0,Henderson,NV,US,0,0,6/9/14 0:11,1
96,ce220a72-7144-11e5-ba71-058fbc01cf0b,1,1,1,London ,LND,GB,0,0,0:00:00,1
97,ce220b12-7144-11e5-ba71-058fbc01cf0b,1,1,1,Hancock,NH,US,0,0,0:00:00,1
98,ce220bb2-7144-11e5-ba71-058fbc01cf0b,2,2,1,Old Lyme,CT,US,0,0,0:00:00,2
100,ce220cf2-7144-11e5-ba71-058fbc01cf0b,1,1,0,Duncanville,TX,US,0,0,10/6/15 17:01,1
101,ce2209d2-7144-11e5-ba71-058fbc01cf0b,1,1,0,Victoria,BC,CA,0,0,0:00:00,1
103,ce220e3c-7144-11e5-ba71-058fbc01cf0b,1,1,1,Portland,OR,US,0,0,0:00:00,1
104,ce220ee6-7144-11e5-ba71-058fbc01cf0b,1,2,0,Southington,CT,US,0,0,0:00:00,2
105,ce137e80-7144-11e5-ba71-058fbc01cf0b,1,2,1,Kapolei,HI,US,0,0,2/9/14 0:29,2
106,ce221210-7144-11e5-ba71-058fbc01cf0b,2,2,1,Suffield,CT,US,0,0,0:00:00,2
108,ce22135a-7144-11e5-ba71-058fbc01cf0b,1,2,1,Atlanta,GA,US,0,0,0:00:00,2
109,ce134a78-7144-11e5-ba71-058fbc01cf0b,3,2,1,Durham,NC,US,1,0,2/23/15 13:39,2
110,ce2213fa-7144-11e5-ba71-058fbc01cf0b,1,1,1,Fort Lauderdale,FL,US,0,0,0:00:00,1
111,ce221774-7144-11e5-ba71-058fbc01cf0b,2,1,1,Spring,TX,US,0,0,4/5/14 21:57,1
112,ce221a76-7144-11e5-ba71-058fbc01cf0b,2,2,1,Virginia Beach,VA,US,0,0,2/10/15 22:12,2
113,ce2218e6-7144-11e5-ba71-058fbc01cf0b,1,1,1,Minneapolis,MN,US,0,0,2/7/14 23:29,1
114,ce221b3e-7144-11e5-ba71-058fbc01cf0b,1,1,1,Jonesboro,GA,US,0,0,0:00:00,1
115,ce221dbe-7144-11e5-ba71-058fbc01cf0b,2,2,1,Apo,AE,US,0,0,0:00:00,2
117,ce221e5e-7144-11e5-ba71-058fbc01cf0b,3,2,1,Hillsborough,NC,US,0,0,2/24/15 23:55,2
118,ce221efe-7144-11e5-ba71-058fbc01cf0b,1,1,1,Jersey City,NJ,US,0,0,0:00:00,1
119,ce221f9e-7144-11e5-ba71-058fbc01cf0b,1,1,0,Atlanta,GA,US,0,0,0:00:00,1
120,ce22203e-7144-11e5-ba71-058fbc01cf0b,2,2,1,Spring,TX,US,0,0,0:00:00,2
122,ce2220de-7144-11e5-ba71-058fbc01cf0b,1,1,1,New York,NY,US,0,0,8/17/14 15:17,1
123,ce222214-7144-11e5-ba71-058fbc01cf0b,2,2,1,Lapid,JM,IL,0,0,0:00:00,2
124,ce2222aa-7144-11e5-ba71-058fbc01cf0b,1,1,1,Clinton,MD,US,0,0,0:00:00,1
125,ce22234a-7144-11e5-ba71-058fbc01cf0b,1,1,1,Zurich,ZH,CH,0,0,0:00:00,1
126,ce22248a-7144-11e5-ba71-058fbc01cf0b,2,2,1,Charlotte,NC,US,0,0,0:00:00,2
127,ce22252a-7144-11e5-ba71-058fbc01cf0b,1,1,1,Raleigh,NC,US,0,0,5/18/15 1:21,1
128,ce2225d4-7144-11e5-ba71-058fbc01cf0b,1,1,0,Goodlettsville,TN,US,0,0,0:00:00,1
129,ce222674-7144-11e5-ba71-058fbc01cf0b,1,1,1,Raleigh,NC,US,0,0,0:00:00,1
130,ce2227be-7144-11e5-ba71-058fbc01cf0b,1,1,0,Princeton,NJ,US,0,0,0:00:00,1
131,ce2228fe-7144-11e5-ba71-058fbc01cf0b,1,2,1,Oakland,CA,US,0,0,2/8/15 16:46,2
132,ce222a02-7144-11e5-ba71-058fbc01cf0b,1,2,1,London,LND,GB,0,0,0:00:00,2
133,ce137f20-7144-11e5-ba71-058fbc01cf0b,1,5,1,Nathrop,CO,US,0,0,7/23/15 21:32,3
134,ce221c88-7144-11e5-ba71-058fbc01cf0b,1,1,1,New York,NY,US,0,0,0:00:00,1
135,ce222a70-7144-11e5-ba71-058fbc01cf0b,1,1,0,Orlando,FL,US,0,0,0:00:00,1
136,ce222ade-7144-11e5-ba71-058fbc01cf0b,1,1,1,St. Privé St. Mesmin,F,FR,0,0,3/4/14 19:35,1
137,ce221d1e-7144-11e5-ba71-058fbc01cf0b,1,1,0,Moorooka,QLD,AU,0,0,0:00:00,1
138,ce222fa2-7144-11e5-ba71-058fbc01cf0b,1,2,1,Atlanta,GA,US,0,0,1/21/15 0:42,2
139,ce2232cc-7144-11e5-ba71-058fbc01cf0b,2,2,1,Delémont,JU,CH,0,0,5/16/15 9:25,2
140,ce223452-7144-11e5-ba71-058fbc01cf0b,1,2,1,New York,NY,US,0,0,7/12/15 23:43,2
141,ce2234f2-7144-11e5-ba71-058fbc01cf0b,2,2,1,Mcminnville,OR,US,0,0,0:00:00,2
143,ce223628-7144-11e5-ba71-058fbc01cf0b,1,1,1,Altoona,IA,US,0,0,4/27/14 17:25,1
144,ce2236c8-7144-11e5-ba71-058fbc01cf0b,3,2,1,Hillsborough,NC,US,0,0,3/19/14 0:53,2
147,ce22375e-7144-11e5-ba71-058fbc01cf0b,1,1,1,Charlotte,NC,US,0,0,0:00:00,1
148,ce2237f4-7144-11e5-ba71-058fbc01cf0b,2,2,1,Olathe,KS,US,0,0,3/21/15 20:59,2
149,ce2239c0-7144-11e5-ba71-058fbc01cf0b,1,1,1,Austin,TX,US,0,0,0:00:00,1
150,ce223af6-7144-11e5-ba71-058fbc01cf0b,1,1,1,Philadelphia,PA,US,0,0,0:00:00,1
151,ce223c22-7144-11e5-ba71-058fbc01cf0b,1,1,0,Seattle,WA,US,0,0,0:00:00,1
153,ce223cb8-7144-11e5-ba71-058fbc01cf0b,1,2,1,Jacksonville,FL,US,0,0,2/25/15 11:30,2
154,ce223de4-7144-11e5-ba71-058fbc01cf0b,3,2,1,Cobble Hill,BC,CA,0,0,4/26/14 21:50,2
157,ce223f06-7144-11e5-ba71-058fbc01cf0b,1,2,1,North Adams,MA,US,0,0,10/1/14 20:01,2
158,ce22408c-7144-11e5-ba71-058fbc01cf0b,1,2,1,Sellersville,PA,US,0,0,6/3/15 0:37,2
159,ce22392a-7144-11e5-ba71-058fbc01cf0b,1,2,0,Durham,NC,US,1,0,0:00:00,2
160,ce2240f0-7144-11e5-ba71-058fbc01cf0b,1,2,1,New Carlisle,IN,US,0,0,4/2/14 16:32,2
161,ce224028-7144-11e5-ba71-058fbc01cf0b,1,1,0,Durham,NC,US,0,0,0:00:00,1
162,ce22414a-7144-11e5-ba71-058fbc01cf0b,1,1,1,Alma,WI,US,0,0,0:00:00,1
163,ce2241ae-7144-11e5-ba71-058fbc01cf0b,1,1,0,Rotorua,N,NZ,0,0,0:00:00,1
164,ce224208-7144-11e5-ba71-058fbc01cf0b,2,2,1,Pennington,NJ,US,0,0,5/28/15 19:20,2
166,ce22426c-7144-11e5-ba71-058fbc01cf0b,1,1,1,Santa Fe,NM,US,0,0,0:00:00,1
167,ce22432a-7144-11e5-ba71-058fbc01cf0b,1,1,0,Washington,DC,US,0,0,0:00:00,1
168,ce22438e-7144-11e5-ba71-058fbc01cf0b,1,1,0,Towson,MD,US,0,0,0:00:00,1
169,ce2243e8-7144-11e5-ba71-058fbc01cf0b,1,2,1,Carmel Valley,CA,US,0,0,1/29/15 19:17,2
170,ce22444c-7144-11e5-ba71-058fbc01cf0b,1,1,0,Alpharetta,GA,US,0,0,0:00:00,1
171,ce22456e-7144-11e5-ba71-058fbc01cf0b,2,2,1,Chemainus,BC,CA,0,0,5/30/14 21:57,2
173,ce22492e-7144-11e5-ba71-058fbc01cf0b,1,2,1,Macon,GA,US,0,0,0:00:00,2
175,ce222e58-7144-11e5-ba71-058fbc01cf0b,2,2,0,Vancouver,BC,CA,0,0,6/3/14 1:35,2
177,ce224b0e-7144-11e5-ba71-058fbc01cf0b,1,2,1,Bala Cynwyd,PA,US,0,0,0:00:00,2
178,ce138920-7144-11e5-ba71-058fbc01cf0b,1,2,1,Woodinville,NC,US,0,0,2/24/15 20:57,2
179,ce224b68-7144-11e5-ba71-058fbc01cf0b,2,2,0,Auckland,N,NZ,0,0,0:00:00,2
181,ce224bcc-7144-11e5-ba71-058fbc01cf0b,1,1,0,Dallas,TX,US,0,0,9/13/14 2:00,1
182,ce224a46-7144-11e5-ba71-058fbc01cf0b,1,2,1,Prairie Village,KS,US,0,0,12/19/14 2:14,2
183,ce224d52-7144-11e5-ba71-058fbc01cf0b,2,2,1,Phoenix,AZ,US,0,0,0:00:00,2
185,ce224e10-7144-11e5-ba71-058fbc01cf0b,1,2,1,Philadelphia,PA,US,0,0,0:00:00,2
187,ce224dac-7144-11e5-ba71-058fbc01cf0b,1,1,0,San Marcos,TX,US,0,0,0:00:00,1
188,ce22511c-7144-11e5-ba71-058fbc01cf0b,1,1,0,Cibolo,TX,US,0,0,0:00:00,1
189,ce2251da-7144-11e5-ba71-058fbc01cf0b,1,2,1,Melbourne,VIC,AU,0,0,6/24/14 6:50,2
190,ce22523e-7144-11e5-ba71-058fbc01cf0b,1,2,1,Singapore,1,SG,0,0,9/2/15 13:47,2
191,ce225360-7144-11e5-ba71-058fbc01cf0b,2,2,1,Santee,CA,US,0,0,0:00:00,2
192,ce138876-7144-11e5-ba71-058fbc01cf0b,4,1,0,Woodinville,NC,US,0,0,0:00:00,1
193,ce2255f4-7144-11e5-ba71-058fbc01cf0b,1,2,1,Waterloo,ON,CA,0,0,5/31/15 0:20,2
194,ce225658-7144-11e5-ba71-058fbc01cf0b,1,1,0,Kalamazoo,MI,US,0,0,0:00:00,1
196,ce224866-7144-11e5-ba71-058fbc01cf0b,7,2,0,Raleigh,NC,US,1,0,0:00:00,2
197,ce22590a-7144-11e5-ba71-058fbc01cf0b,1,1,0,Jamison,PA,US,0,0,0:00:00,1
198,ce225c16-7144-11e5-ba71-058fbc01cf0b,3,2,1,Yorba Linda,CA,US,0,0,0:00:00,2
200,ce224cee-7144-11e5-ba71-058fbc01cf0b,1,1,1,Chicago,IL,US,0,0,2/24/15 22:17,1
201,ce225d92-7144-11e5-ba71-058fbc01cf0b,1,2,1,Chapel Hill,NC,US,0,0,2/1/14 11:22,2
202,ce2249ec-7144-11e5-ba71-058fbc01cf0b,1,1,0,Durham,NC,US,0,0,0:00:00,1
203,ce225df6-7144-11e5-ba71-058fbc01cf0b,2,2,1,Rixeyville,VA,US,0,0,7/30/14 22:10,2
204,ce225f18-7144-11e5-ba71-058fbc01cf0b,2,2,1,Youngsville,NC,US,0,0,0:00:00,2
206,ce225f72-7144-11e5-ba71-058fbc01cf0b,1,2,1,Toronto,ON,CA,0,0,3/15/14 12:58,2
207,ce225fd6-7144-11e5-ba71-058fbc01cf0b,1,2,1,Bluffton,SC,US,0,0,0:00:00,2
208,ce22608a-7144-11e5-ba71-058fbc01cf0b,1,2,0,Brookeville,MD,US,0,0,0:00:00,2
209,ce2260e4-7144-11e5-ba71-058fbc01cf0b,1,2,1,Houston,TX,US,0,0,3/11/15 14:43,2
210,ce22613e-7144-11e5-ba71-058fbc01cf0b,1,1,1,Tijeras,NM,US,0,0,0:00:00,1
211,ce2261a2-7144-11e5-ba71-058fbc01cf0b,1,2,1,Washington,DC,US,0,0,5/19/14 23:05,2
212,ce2266de-7144-11e5-ba71-058fbc01cf0b,1,1,0,Durham,NC,US,0,0,0:00:00,1
213,ce226c1a-7144-11e5-ba71-058fbc01cf0b,1,1,1,Memphis,TN,US,0,0,0:00:00,1
214,ce226bb6-7144-11e5-ba71-058fbc01cf0b,1,2,0,Golden,CO,US,0,0,5/4/14 19:05,2
215,ce23e626-7144-11e5-ba71-058fbc01cf0b,1,2,1,New Plymouth,N,NZ,0,0,0:00:00,2
216,ce23e4a0-7144-11e5-ba71-058fbc01cf0b,6,2,0,Seattle,WA,US,0,0,0:00:00,2
217,ce23e6ee-7144-11e5-ba71-058fbc01cf0b,1,2,1,Kennedy Town,,HK,0,0,0:00:00,2
218,ce2267a6-7144-11e5-ba71-058fbc01cf0b,1,1,1,Marshall,WI,US,0,0,0:00:00,1
219,ce136210-7144-11e5-ba71-058fbc01cf0b,1,1,0,Columbia,MO,US,0,0,0:00:00,1
220,ce23eb9e-7144-11e5-ba71-058fbc01cf0b,1,1,0,Somerville,MA,US,0,0,0:00:00,1
221,ce23ec8e-7144-11e5-ba71-058fbc01cf0b,1,1,0,Boston,MA,US,0,0,5/25/14 1:10,1
222,ce23f1de-7144-11e5-ba71-058fbc01cf0b,1,2,1,Durham,NC,US,0,0,7/30/15 20:47,2
223,ce23f2a6-7144-11e5-ba71-058fbc01cf0b,2,1,0,Asheville,NC,US,0,0,0:00:00,1
224,ce23f634-7144-11e5-ba71-058fbc01cf0b,1,1,1,Cary,NC,US,0,0,0:00:00,1
225,ce23f9cc-7144-11e5-ba71-058fbc01cf0b,1,1,0,Port Washington,NY,US,0,0,0:00:00,1
226,ce24071e-7144-11e5-ba71-058fbc01cf0b,1,2,1,Gastonia,NC,US,0,0,5/17/15 3:33,2
227,ce2409ee-7144-11e5-ba71-058fbc01cf0b,1,2,1,Irvine,CA,US,0,0,3/29/14 19:31,2
228,ce240a8e-7144-11e5-ba71-058fbc01cf0b,1,2,1,Ellensburg,WA,US,0,0,0:00:00,2
229,ce240bba-7144-11e5-ba71-058fbc01cf0b,1,2,1,Jersey City,NJ,US,0,0,5/24/14 23:11,2
230,ce240b24-7144-11e5-ba71-058fbc01cf0b,1,2,1,Cedar Crest,NM,US,0,0,0:00:00,2
231,ce240d72-7144-11e5-ba71-058fbc01cf0b,1,2,1,Chapel Hill,NC,US,0,0,0:00:00,2
232,ce663ce2-7144-11e5-ba71-058fbc01cf0b,2,14,1,,,,1,0,6/3/14 15:39,2
233,ce240f20-7144-11e5-ba71-058fbc01cf0b,1,2,1,Deerfield,MA,US,0,0,10/2/15 23:22,2
234,ce240fac-7144-11e5-ba71-058fbc01cf0b,2,2,1,Freeland,MD,US,0,0,0:00:00,2
235,ce241042-7144-11e5-ba71-058fbc01cf0b,2,2,0,Cary,NC,US,0,0,0:00:00,2
236,ce2410d8-7144-11e5-ba71-058fbc01cf0b,1,2,1,New York,NY,US,0,0,1/30/15 0:14,2
238,ce241178-7144-11e5-ba71-058fbc01cf0b,1,2,1,Las Vegas,NV,US,0,0,0:00:00,2
239,ce241218-7144-11e5-ba71-058fbc01cf0b,1,2,1,Phoenix,MD,US,0,0,0:00:00,2
240,ce2412ae-7144-11e5-ba71-058fbc01cf0b,2,2,1,Lindsay,OK,US,0,0,0:00:00,2
242,ce241344-7144-11e5-ba71-058fbc01cf0b,2,2,0,Tyrone,NM,US,0,0,6/26/14 3:53,2
244,ce2413e4-7144-11e5-ba71-058fbc01cf0b,2,2,1,Raleigh,NC,US,0,0,7/14/14 16:50,2
245,ce241524-7144-11e5-ba71-058fbc01cf0b,2,2,1,Palo Alto,CA,US,0,0,6/30/15 20:06,2
247,ce2415ba-7144-11e5-ba71-058fbc01cf0b,4,2,1,Hereford,AZ,US,0,0,0:00:00,2
249,ce24165a-7144-11e5-ba71-058fbc01cf0b,1,2,1,Larkspur,CA,US,0,0,2/24/15 20:05,2
250,ce24181c-7144-11e5-ba71-058fbc01cf0b,1,2,1,Arlington,VA,US,0,0,0:00:00,2
251,ce2419de-7144-11e5-ba71-058fbc01cf0b,1,2,1,Vinton,VA,US,0,0,0:00:00,2
252,ce241a74-7144-11e5-ba71-058fbc01cf0b,1,2,1,Quincy,IL,US,0,0,3/11/15 16:29,2
253,ce241b00-7144-11e5-ba71-058fbc01cf0b,2,2,0,Raleigh,NC,US,0,0,12/17/14 20:15,2
254,ce241ba0-7144-11e5-ba71-058fbc01cf0b,1,2,1,Cary,NC,US,0,0,5/10/15 14:00,2
255,ce135cf2-7144-11e5-ba71-058fbc01cf0b,6,2,1,Durham,NC,US,1,0,3/24/15 16:03,2
256,ce241ccc-7144-11e5-ba71-058fbc01cf0b,1,2,1,Seattle,WA,US,0,0,8/24/15 21:34,2
257,ce241d62-7144-11e5-ba71-058fbc01cf0b,1,1,1,Dalton,GA,US,0,0,2/13/15 18:46,1
258,ce241de4-7144-11e5-ba71-058fbc01cf0b,1,2,1,Calgary,AB,CA,0,0,0:00:00,2
259,ce2422e4-7144-11e5-ba71-058fbc01cf0b,1,2,1,Raleigh,NC,US,0,0,10/1/14 15:13,2
260,ce2423fc-7144-11e5-ba71-058fbc01cf0b,1,2,1,Raleigh,NC,US,0,0,0:00:00,2
261,ce242370-7144-11e5-ba71-058fbc01cf0b,1,1,0,Ossineke,MI,US,0,0,0:00:00,1
262,ce2427f8-7144-11e5-ba71-058fbc01cf0b,1,2,1,Brooklyn,NY,US,0,0,0:00:00,2
263,ce242762-7144-11e5-ba71-058fbc01cf0b,1,2,1,Winston Salem,NC,US,0,0,0:00:00,2
264,ce24291a-7144-11e5-ba71-058fbc01cf0b,4,2,0,Durham,NC,US,1,0,0:00:00,2
265,ce242884-7144-11e5-ba71-058fbc01cf0b,1,2,1,New York,NY,US,0,0,6/27/14 22:04,2
266,ce242aa0-7144-11e5-ba71-058fbc01cf0b,1,2,0,Slocomb,AL,US,0,0,0:00:00,2
267,ce242b2c-7144-11e5-ba71-058fbc01cf0b,1,2,1,New Orleans,LA,US,0,0,8/24/14 18:12,2
268,ce242cc6-7144-11e5-ba71-058fbc01cf0b,1,2,1,Youngsville,NC,US,0,0,10/6/14 1:37,2
269,ce241786-7144-11e5-ba71-058fbc01cf0b,1,2,1,Schaumburg,IL,US,0,0,2/24/15 18:18,2
270,ce243202-7144-11e5-ba71-058fbc01cf0b,1,2,1,Raleigh,NC,US,0,0,10/3/14 12:02,2
271,ce2432a2-7144-11e5-ba71-058fbc01cf0b,1,1,1,College Park,MD,US,0,0,6/28/14 3:22,1
272,ce47264a-7144-11e5-ba71-058fbc01cf0b,6,2,1,,,,0,0,5/15/15 21:43,2
273,ce2434e6-7144-11e5-ba71-058fbc01cf0b,1,2,1,Raleigh,NC,US,0,0,2/24/15 19:56,2
274,ce2421cc-7144-11e5-ba71-058fbc01cf0b,1,1,0,Durham,NC,US,0,0,0:00:00,1
275,ce2437de-7144-11e5-ba71-058fbc01cf0b,1,1,0,Alexandria,VA,US,0,0,0:00:00,1
276,ce242640-7144-11e5-ba71-058fbc01cf0b,1,2,1,Woburn,MA,US,0,0,0:00:00,2
277,ce243d1a-7144-11e5-ba71-058fbc01cf0b,1,2,1,West Linn,OR,US,0,0,0:00:00,2
278,ce243fa4-7144-11e5-ba71-058fbc01cf0b,1,2,1,Frederiksberg,84,DK,0,0,1/2/15 12:52,2
279,ce24422e-7144-11e5-ba71-058fbc01cf0b,1,3,1,Warwick,RI,US,0,0,0:00:00,3
280,ce24430a-7144-11e5-ba71-058fbc01cf0b,1,2,1,Toronto,ON,CA,0,0,7/31/14 2:20,2
